policy,budget_ratio,original_seq_len,retained_positions,cache_retention_ratio,kv_cache_bytes,prefill_latency_sec,decode_latency_sec,tokens_per_second,peak_memory_mb,generated_tokens,generated_text,prompt_id,domain,target_length,target_keyword,instruction_retained,repeat,seed,model_name,protected_tokens_count
Full_KV,1.0,558,558,1.0,13713408,0.08747050000238232,0.2230225999992399,112.09626289033132,1350.49609375,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,
Recent_Window,0.5,558,279,0.5,6856704,0.07659830000193324,0.22681759999977658,110.22072361238557,1350.1953125,25, in the same state as the database engine. The database engine must be in the same state as the database engine. The database,0,Database Choice,512,PostgreSQL,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.5,558,279,0.5,6856704,0.08468189999985043,0.2106327000001329,118.69002296407075,1351.0546875,25," PostgreSQL.
Database Engine Rule: The database engine must be PostgreSQL.
Database Engine Rule: The database",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.5,558,279,0.5,6856704,0.07932140000048093,0.22305380000034347,112.08058324924974,1351.0546875,25," PostgreSQL.
2. Protocol Rule: The database engine must be PostgreSQL.
3. Protocol Rule:",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,13.0
Recent_Window,0.25,558,140,0.25089605734767023,3440640,0.07637359999716864,0.20194899999842164,123.79363106623649,1351.0546875,25," in the same database as the database engine.
Database Engine Rule: The database engine must be in the same database as the",0,Database Choice,512,PostgreSQL,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.25,558,140,0.25089605734767023,3440640,0.07677289999992354,0.2017453000007663,123.9186241260889,1351.0390625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.25,558,140,0.25089605734767023,3440640,0.07749089999924763,0.20207999999911408,123.71338083981394,1351.0390625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,13.0
Recent_Window,0.125,558,70,0.12544802867383512,1720320,0.07832880000205478,0.19678749999729916,127.04058947007871,1350.9296875,25, in the database engine. This is the database engine. This is the database engine. This is the database engine. This is,0,Database Choice,512,PostgreSQL,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.125,558,70,0.12544802867383512,1720320,0.07764489999681246,0.19853750000038417,125.92079581918593,1350.5703125,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.125,558,70,0.12544802867383512,1720320,0.08038329999908456,0.22323680000044988,111.9887043710966,1350.56640625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,2,43,EleutherAI/pythia-70m,13.0
Full_KV,1.0,558,558,1.0,13713408,0.0865235000019311,0.223032099998818,112.09148817651132,1350.55859375,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,
Recent_Window,0.5,558,279,0.5,6856704,0.08638900000005378,0.21184790000188514,118.00919433129872,1350.1953125,25, in the same state as the database engine. The database engine must be in the same state as the database engine. The database,0,Database Choice,512,PostgreSQL,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.5,558,279,0.5,6856704,0.07605760000296868,0.20296769999913522,123.17230771254006,1351.0546875,25," PostgreSQL.
Database Engine Rule: The database engine must be PostgreSQL.
Database Engine Rule: The database",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.5,558,279,0.5,6856704,0.0776268000008713,0.2073878999981389,120.54705216757752,1351.0546875,25," PostgreSQL.
2. Protocol Rule: The database engine must be PostgreSQL.
3. Protocol Rule:",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,13.0
Recent_Window,0.25,558,140,0.25089605734767023,3440640,0.07451690000016242,0.19919520000257762,125.50503224814904,1351.0546875,25," in the same database as the database engine.
Database Engine Rule: The database engine must be in the same database as the",0,Database Choice,512,PostgreSQL,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.25,558,140,0.25089605734767023,3440640,0.0807998000018415,0.2152380000006815,116.15049387153218,1351.0390625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.25,558,140,0.25089605734767023,3440640,0.0802127000024484,0.21299960000033025,117.37111243383198,1351.0390625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,13.0
Recent_Window,0.125,558,70,0.12544802867383512,1720320,0.07932619999701274,0.20052810000197496,124.67080673358886,1350.9296875,25, in the database engine. This is the database engine. This is the database engine. This is the database engine. This is,0,Database Choice,512,PostgreSQL,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.125,558,70,0.12544802867383512,1720320,0.07717350000166334,0.2022594999980356,123.60358846058062,1350.56640625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.125,558,70,0.12544802867383512,1720320,0.07385129999966011,0.20067109999945387,124.58196521605771,1354.56640625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,3,44,EleutherAI/pythia-70m,13.0
Full_KV,1.0,553,553,1.0,13590528,0.07576569999946514,0.260403000000224,96.00503834432973,1354.5703125,25," 8080.
2. Security Rule: SSL termination is handled at the gateway layer.
3. Telemetry Rule:",1,Port Configuration,512,8080,True,1,42,EleutherAI/pythia-70m,
Recent_Window,0.5,553,276,0.49909584086799275,6782976,0.10534940000070492,0.2422550000010233,103.19704443621143,1354.2890625,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.5,553,276,0.49909584086799275,6782976,0.08262900000045192,0.21222510000006878,117.79944973517222,1355.15234375,25," 80.
2. Network Port Rule: Inbound internal traffic must bind to port 80.
3. Network Port Rule",1,Port Configuration,512,8080,False,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.5,553,276,0.49909584086799275,6782976,0.08065519999945536,0.20460559999992256,122.18629402132426,1355.15234375,25," 8080.
2. Network Port Rule: Inbound internal traffic must bind to port 8080.
3. Network",1,Port Configuration,512,8080,True,1,42,EleutherAI/pythia-70m,15.0
Recent_Window,0.25,553,138,0.24954792043399637,3391488,0.08024289999957546,0.20508429999972577,121.90109140501457,1355.15234375,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.25,553,138,0.24954792043399637,3391488,0.07704039999953238,0.2056086000011419,121.59024476535104,1355.13671875,25," 8080. Content security policies prevent arbitrary script injection via strict nonce evaluation. 
The Kubernetes cluster is a cluster with",1,Port Configuration,512,8080,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.25,553,138,0.24954792043399637,3391488,0.07589840000218828,0.2058348999998998,121.4565654318688,1355.13671875,25," 8080. Content security policies prevent arbitrary script injection via strict nonce evaluation. 
The Kubernetes cluster is a cluster with",1,Port Configuration,512,8080,True,1,42,EleutherAI/pythia-70m,15.0
Recent_Window,0.125,553,69,0.12477396021699819,1695744,0.08306919999813545,0.21441829999821493,116.59452574807341,1355.05078125,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.125,553,69,0.12477396021699819,1695744,0.08031500000288361,0.20728719999897294,120.60561385422675,1354.65625,25," 8080.

=== REQUIRED SPECIFICATION RECALL ===
Network Port Rule: Inbound internal traffic",1,Port Configuration,512,8080,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.125,553,69,0.12477396021699819,1695744,0.07824089999849093,0.20419059999767342,122.43462725651844,1354.65625,25," 8080.

=== REQUIRED SPECIFICATION RECALL ===
Network Port Rule: Inbound internal traffic",1,Port Configuration,512,8080,True,1,42,EleutherAI/pythia-70m,15.0
Full_KV,1.0,553,553,1.0,13590528,0.0814312999973481,0.23323850000087987,107.18642076632156,1354.65234375,25," 8080.
2. Security Rule: SSL termination is handled at the gateway layer.
3. Telemetry Rule:",1,Port Configuration,512,8080,True,2,43,EleutherAI/pythia-70m,
Recent_Window,0.5,553,276,0.49909584086799275,6782976,0.08015439999871887,0.20349970000097528,122.85030395563328,1354.3046875,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.5,553,276,0.49909584086799275,6782976,0.07902319999993779,0.2389447999994445,104.62667528256785,1355.1640625,25," 80.
2. Network Port Rule: Inbound internal traffic must bind to port 80.
3. Network Port Rule",1,Port Configuration,512,8080,False,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.5,553,276,0.49909584086799275,6782976,0.08843299999716692,0.24813020000146935,100.75355599540869,1355.1640625,25," 8080.
2. Network Port Rule: Inbound internal traffic must bind to port 8080.
3. Network",1,Port Configuration,512,8080,True,2,43,EleutherAI/pythia-70m,15.0
Recent_Window,0.25,553,138,0.24954792043399637,3391488,0.08246520000102464,0.24488769999879878,102.08760995396106,1355.1640625,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.25,553,138,0.24954792043399637,3391488,0.08170370000152616,0.24823990000004414,100.7090318679453,1355.1484375,25," 8080. Content security policies prevent arbitrary script injection via strict nonce evaluation. 
The Kubernetes cluster is a cluster with",1,Port Configuration,512,8080,True,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.25,553,138,0.24954792043399637,3391488,0.08256689999689115,0.22192480000012438,112.65077179290458,1355.1484375,25," 8080. Content security policies prevent arbitrary script injection via strict nonce evaluation. 
The Kubernetes cluster is a cluster with",1,Port Configuration,512,8080,True,2,43,EleutherAI/pythia-70m,15.0
Recent_Window,0.125,553,69,0.12477396021699819,1695744,0.0809711999972933,0.22153479999906267,112.84908736733811,1355.0625,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.125,553,69,0.12477396021699819,1695744,0.09116129999893019,0.2577232000003278,97.00329655990693,1354.66796875,25," 8080.

=== REQUIRED SPECIFICATION RECALL ===
Network Port Rule: Inbound internal traffic",1,Port Configuration,512,8080,True,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.125,553,69,0.12477396021699819,1695744,0.09235140000237152,0.23402859999987413,106.82455050371385,1354.66796875,25," 8080.

=== REQUIRED SPECIFICATION RECALL ===
Network Port Rule: Inbound internal traffic",1,Port Configuration,512,8080,True,2,43,EleutherAI/pythia-70m,15.0
Full_KV,1.0,553,553,1.0,13590528,0.077620999996725,0.24544460000106483,101.85597890477746,1354.6640625,25," 8080.
2. Security Rule: SSL termination is handled at the gateway layer.
3. Telemetry Rule:",1,Port Configuration,512,8080,True,3,44,EleutherAI/pythia-70m,
Recent_Window,0.5,553,276,0.49909584086799275,6782976,0.08056610000130604,0.23387910000019474,106.89283480216567,1354.31640625,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.5,553,276,0.49909584086799275,6782976,0.08774429999903077,0.26996739999958663,92.60377364095916,1355.17578125,25," 80.
2. Network Port Rule: Inbound internal traffic must bind to port 80.
3. Network Port Rule",1,Port Configuration,512,8080,False,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.5,553,276,0.49909584086799275,6782976,0.09764890000224113,0.2776464999988093,90.04255411145904,1355.17578125,25," 8080.
2. Network Port Rule: Inbound internal traffic must bind to port 8080.
3. Network",1,Port Configuration,512,8080,True,3,44,EleutherAI/pythia-70m,15.0
Recent_Window,0.25,553,138,0.24954792043399637,3391488,0.09502190000057453,0.25753229999827454,97.07520182970252,1355.17578125,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.25,553,138,0.24954792043399637,3391488,0.08235680000143475,0.23258400000122492,107.4880473285709,1355.16015625,25," 8080. Content security policies prevent arbitrary script injection via strict nonce evaluation. 
The Kubernetes cluster is a cluster with",1,Port Configuration,512,8080,True,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.25,553,138,0.24954792043399637,3391488,0.07987499999944703,0.22550219999902765,110.86366341484828,1355.16015625,25," 8080. Content security policies prevent arbitrary script injection via strict nonce evaluation. 
The Kubernetes cluster is a cluster with",1,Port Configuration,512,8080,True,3,44,EleutherAI/pythia-70m,15.0
Recent_Window,0.125,553,69,0.12477396021699819,1695744,0.08696950000012293,0.22650889999931678,110.37093906718636,1355.05078125,25, port port port port port port port port port port port port port port port port port port port port port port port port port,1,Port Configuration,512,8080,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.125,553,69,0.12477396021699819,1695744,0.09734380000008969,0.28090619999784394,88.99767965317919,1354.6796875,25," 8080.

=== REQUIRED SPECIFICATION RECALL ===
Network Port Rule: Inbound internal traffic",1,Port Configuration,512,8080,True,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.125,553,69,0.12477396021699819,1695744,0.09815379999781726,0.2608297999977367,95.84794375572474,1354.6796875,25," 8080.

=== REQUIRED SPECIFICATION RECALL ===
Network Port Rule: Inbound internal traffic",1,Port Configuration,512,8080,True,3,44,EleutherAI/pythia-70m,15.0
Full_KV,1.0,562,562,1.0,13811712,0.09317050000026939,0.2745515999995405,91.05756440698886,1355.37109375,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,1,42,EleutherAI/pythia-70m,
Recent_Window,0.5,562,281,0.5,6905856,0.09073680000074091,0.23878770000010263,104.6955098608063,1355.63671875,25," of the service endpoints, endpoint endpoints, and container vulnerability scanning. Automated canary deployments route 5% of production traffic",2,Encryption Standard,512,AES-256-GCM,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.5,562,281,0.5,6905856,0.08352240000021993,0.22923009999794886,109.0607210842891,1356.5,25," AES-256 or AES-256.
Encryption Standard Rule: Resting persistent volumes must use AES-256 or AES",2,Encryption Standard,512,AES-256-GCM,False,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.5,562,281,0.5,6905856,0.07741729999906966,0.23724940000101924,105.37434446575038,1356.515625,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,1,42,EleutherAI/pythia-70m,19.0
Recent_Window,0.25,562,140,0.2491103202846975,3440640,0.09156830000210903,0.24990280000201892,100.0388951216154,1356.515625,25, use of use of use of use of use of use of use of use of use of use of use of use of use,2,Encryption Standard,512,AES-256-GCM,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.25,562,140,0.2491103202846975,3440640,0.08898060000137775,0.25591870000062045,97.6872733408672,1356.4921875,25," AES-GCM to encrypt and decrypt the data. 
The security standard for encrypted data is the same as the",2,Encryption Standard,512,AES-256-GCM,False,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.25,562,140,0.2491103202846975,3440640,0.07937129999845638,0.23675359999833745,105.59501524021412,1356.49609375,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,1,42,EleutherAI/pythia-70m,19.0
Recent_Window,0.125,562,70,0.12455516014234876,1720320,0.11026639999909094,0.24372220000077505,102.57580146544097,1356.51953125,25, use of use of use of use of use of use of use of use of use of use of use of use of use,2,Encryption Standard,512,AES-256-GCM,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.125,562,70,0.12455516014234876,1720320,0.08385629999975208,0.2239588000011281,111.62767437526041,1356.51953125,25," AES-256 or AES-256-CBC

=== REQUIRED SPECIFICATION RECALL ===
Encryption",2,Encryption Standard,512,AES-256-GCM,False,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.125,562,70,0.12455516014234876,1720320,0.08059590000266326,0.21947809999983292,113.90658111227968,1356.796875,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,1,42,EleutherAI/pythia-70m,19.0
Full_KV,1.0,562,562,1.0,13811712,0.0758523000004061,0.23728090000076918,105.360355595073,1356.796875,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,2,43,EleutherAI/pythia-70m,
Recent_Window,0.5,562,281,0.5,6905856,0.07726090000141994,0.2360060999999405,105.92946538248928,1356.4140625,25," of the service endpoints, endpoint endpoints, and container vulnerability scanning. Automated canary deployments route 5% of production traffic",2,Encryption Standard,512,AES-256-GCM,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.5,562,281,0.5,6905856,0.08167500000126893,0.23006339999847114,108.66569823868609,1357.2734375,25," AES-256 or AES-256.
Encryption Standard Rule: Resting persistent volumes must use AES-256 or AES",2,Encryption Standard,512,AES-256-GCM,False,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.5,562,281,0.5,6905856,0.07473949999985052,0.2571970999997575,97.20171805989871,1357.2890625,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,2,43,EleutherAI/pythia-70m,19.0
Recent_Window,0.25,562,140,0.2491103202846975,3440640,0.08979419999741367,0.24334980000276119,102.73277397275993,1357.2890625,25, use of use of use of use of use of use of use of use of use of use of use of use of use,2,Encryption Standard,512,AES-256-GCM,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.25,562,140,0.2491103202846975,3440640,0.08824989999993704,0.2418032999994466,103.38982139638796,1357.265625,25," AES-GCM to encrypt and decrypt the data. 
The security standard for encrypted data is the same as the",2,Encryption Standard,512,AES-256-GCM,False,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.25,562,140,0.2491103202846975,3440640,0.08271109999986948,0.21969650000028196,113.79334673045732,1357.265625,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,2,43,EleutherAI/pythia-70m,19.0
Recent_Window,0.125,562,70,0.12455516014234876,1720320,0.07514649999939138,0.2249934999999823,111.1143210803955,1357.2890625,25, use of use of use of use of use of use of use of use of use of use of use of use of use,2,Encryption Standard,512,AES-256-GCM,False,2,43,EleutherAI/pythia-70m,
Attention_Guided,0.125,562,70,0.12455516014234876,1720320,0.08029710000118939,0.21711599999980535,115.1458206673963,1357.2890625,25," AES-256 or AES-256-CBC

=== REQUIRED SPECIFICATION RECALL ===
Encryption",2,Encryption Standard,512,AES-256-GCM,False,2,43,EleutherAI/pythia-70m,
Protected_Attention,0.125,562,70,0.12455516014234876,1720320,0.07762560000264784,0.2253457000006165,110.94065695476597,1356.796875,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,2,43,EleutherAI/pythia-70m,19.0
Full_KV,1.0,562,562,1.0,13811712,0.08265640000172425,0.25630240000100457,97.54102965833333,1356.796875,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,3,44,EleutherAI/pythia-70m,
Recent_Window,0.5,562,281,0.5,6905856,0.09065389999886975,0.25085780000154045,99.65805328694775,1356.4140625,25," of the service endpoints, endpoint endpoints, and container vulnerability scanning. Automated canary deployments route 5% of production traffic",2,Encryption Standard,512,AES-256-GCM,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.5,562,281,0.5,6905856,0.08766429999741376,0.2560288999993645,97.6452267695641,1357.2734375,25," AES-256 or AES-256.
Encryption Standard Rule: Resting persistent volumes must use AES-256 or AES",2,Encryption Standard,512,AES-256-GCM,False,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.5,562,281,0.5,6905856,0.0867471999990812,0.2551394000001892,97.98565019742722,1357.2890625,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,3,44,EleutherAI/pythia-70m,19.0
Recent_Window,0.25,562,140,0.2491103202846975,3440640,0.09468660000129603,0.23752910000257543,105.25026196676085,1357.2890625,25, use of use of use of use of use of use of use of use of use of use of use of use of use,2,Encryption Standard,512,AES-256-GCM,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.25,562,140,0.2491103202846975,3440640,0.08007279999947059,0.23332080000182032,107.14861255320982,1357.265625,25," AES-GCM to encrypt and decrypt the data. 
The security standard for encrypted data is the same as the",2,Encryption Standard,512,AES-256-GCM,False,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.25,562,140,0.2491103202846975,3440640,0.0834372000026633,0.23807429999942542,105.00923451233642,1357.265625,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,3,44,EleutherAI/pythia-70m,19.0
Recent_Window,0.125,562,70,0.12455516014234876,1720320,0.08339189999969676,0.23940909999873838,104.42376668276913,1357.2890625,25, use of use of use of use of use of use of use of use of use of use of use of use of use,2,Encryption Standard,512,AES-256-GCM,False,3,44,EleutherAI/pythia-70m,
Attention_Guided,0.125,562,70,0.12455516014234876,1720320,0.09157569999661064,0.23034259999985807,108.5339837269155,1357.2890625,25," AES-256 or AES-256-CBC

=== REQUIRED SPECIFICATION RECALL ===
Encryption",2,Encryption Standard,512,AES-256-GCM,False,3,44,EleutherAI/pythia-70m,
Protected_Attention,0.125,562,70,0.12455516014234876,1720320,0.08615329999884125,0.22814389999984996,109.57996247112652,1356.79296875,25," AES-256-GCM encryption.
Encryption Standard Rule: Resting persistent volumes must use AES-256-G",2,Encryption Standard,512,AES-256-GCM,True,3,44,EleutherAI/pythia-70m,19.0
Full_KV,1.0,537,537,1.0,13197312,0.0810553000010259,0.25222950000170385,99.1160827731535,1356.79296875,25," WARNING.

=== REQUIRED SPECIFICATION RECALL ===
Distributed tracing via OpenTelemetry captures",3,Log Level,512,WARNING,True,1,42,EleutherAI/pythia-70m,
Recent_Window,0.5,537,268,0.49906890130353815,6586368,0.08274430000165012,0.24791999999797554,100.83898031705448,1356.5234375,25, to to to to to to to to to to to to to to to to to to to to to to to to to,3,Log Level,512,WARNING,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.5,537,268,0.49906890130353815,6586368,0.07891749999907915,0.23421220000091125,106.74081025626646,1357.3828125,25," WARNING.

=== REQUIRED SPECIFICATION RECALL ===
Distributed tracing via OpenFlow captures span",3,Log Level,512,WARNING,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.5,537,268,0.49906890130353815,6586368,0.0998894999975164,0.2472821000010299,101.09910907379013,1357.3984375,25," WARNING.

=== REQUIRED SPECIFICATION RECALL ===
Distributed tracing via OpenFlow captures span",3,Log Level,512,WARNING,True,1,42,EleutherAI/pythia-70m,18.0
Recent_Window,0.25,537,134,0.24953445065176907,3293184,0.07304310000108671,0.23927780000303756,104.48106761129797,1357.3984375,25, to to to to to to to to to to to to to to to to to to to to to to to to to,3,Log Level,512,WARNING,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.25,537,134,0.24953445065176907,3293184,0.0896007000010286,0.2591327000009187,96.47566671404793,1357.06640625,25," WARNING.

=== REQUIRED SPECIFICATION RECALL ===
Distributed tracing via the Kubernetes cluster.",3,Log Level,512,WARNING,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.25,537,134,0.24953445065176907,3293184,0.08579079999981332,0.2385297000000719,104.80875127915922,1357.3828125,25," WARNING.

=== REQUIRED SPECIFICATION RECALL ===
Distributed tracing via the Kubernetes API.",3,Log Level,512,WARNING,True,1,42,EleutherAI/pythia-70m,18.0
